Model,Ticker,RMSE,R²,BearMissRate,BearMissRate_tol,BearMissRate_z,bear-miss,bear-miss_tol,bearish-observations,z-miss,z-bears,z-threshold,eps_err,undefined_reason,N
HuPin LSTM,0,0.011030958881327,-0.1081800111356827,0.696551724137931,0.2206896551724138,1.0,101,32,145,36,36,-0.0116511969686225,0.01,,315
HuPin LSTM,1,0.0269537382842922,-0.0422442331348082,0.7975460122699386,0.3558282208588957,1.0,130,58,163,8,8,-0.0510640032259158,0.01,,315
HuPin LSTM,2,0.0137608773447243,-0.0668750023257327,0.7986577181208053,0.2684563758389262,1.0,119,40,149,19,19,-0.0213027076846155,0.01,,315
HuPin LSTM,3,0.0402094710509236,-0.0031114906715241,0.8522727272727273,0.5795454545454546,1.0,150,102,176,16,16,-0.0627440957699922,0.01,,315
HuPin LSTM,4,0.01156739073644,-0.0627096529185424,0.8355263157894737,0.25,1.0,127,38,152,36,36,-0.0129193184679897,0.01,,315
HuPin LSTM,All,0.0236142071528169,-0.022224449205654,0.7987261146496816,0.3439490445859872,1.0,627,270,785,115,115,,0.01,,1575
Martingale,0,0.0104789150737207,-3.7813987896706536e-05,1.0,0.3103448275862069,1.0,145,45,145,36,36,-0.0116511969686225,0.01,,315
Martingale,1,0.0264055008808267,-0.0002770541677112,1.0,0.6012269938650306,1.0,163,98,163,8,8,-0.0510640032259158,0.01,,315
Martingale,2,0.013328649182137,-0.0009066302704507,1.0,0.3691275167785235,1.0,149,55,149,19,19,-0.0213027076846155,0.01,,315
Martingale,3,0.0402321870803261,-0.0042452109671717,1.0,0.7613636363636364,1.0,176,134,176,16,16,-0.0627440957699922,0.01,,315
Martingale,4,0.0112241380235066,-0.000575375976902,1.0,0.4078947368421052,1.0,152,62,152,36,36,-0.0129193184679897,0.01,,315
Martingale,All,0.0233637376228512,-0.0006545338715835,1.0,0.5019108280254777,1.0,785,394,785,115,115,,0.01,,1575
Median Quantile,0,0.0104639413359387,0.0028181315378984,0.9793103448275862,0.2827586206896552,1.0,142,41,145,36,36,-0.0116511969686225,0.01,,315
Median Quantile,1,0.0263374766769506,0.0048700101838882,0.9938650306748468,0.558282208588957,1.0,162,91,163,8,8,-0.0510640032259158,0.01,,315
Median Quantile,2,0.0133927897607498,-0.010563002672449,0.9798657718120806,0.3557046979865771,1.0,146,53,149,19,19,-0.0213027076846155,0.01,,315
Median Quantile,3,0.0402082109709606,-0.0030486208624254,0.9545454545454546,0.7102272727272727,1.0,168,125,176,16,16,-0.0627440957699922,0.01,,315
Median Quantile,4,0.0112607930108638,-0.0071212621261154,0.9671052631578948,0.3618421052631579,1.0,147,55,152,36,36,-0.0129193184679897,0.01,,315
Median Quantile,All,0.0233496434760162,0.0005523892875394,0.9745222929936306,0.464968152866242,1.0,765,365,785,115,115,,0.01,,1575
