Model,Ticker,RMSE,R²,BearMissRate,BearMissRate_tol,BearMissRate_z,bear-miss,bear-miss_tol,bearish-observations,z-miss,z-bears,z-threshold,eps_err,undefined_reason,N
LSTM_HuPin,0,0.011030958881327099,-0.10818001113568276,0.696551724137931,0.2206896551724138,1.0,101,32,145,36,36,-0.01165119696862251,0.01,,315
LSTM_HuPin,1,0.02695373828429221,-0.042244233134808296,0.7975460122699386,0.3558282208588957,1.0,130,58,163,8,8,-0.051064003225915866,0.01,,315
LSTM_HuPin,2,0.01376087734472439,-0.06687500232573274,0.7986577181208053,0.2684563758389262,1.0,119,40,149,19,19,-0.02130270768461552,0.01,,315
LSTM_HuPin,3,0.04020947105092366,-0.003111490671524164,0.8522727272727273,0.5795454545454546,1.0,150,102,176,16,16,-0.06274409576999228,0.01,,315
LSTM_HuPin,4,0.011567390736440093,-0.06270965291854247,0.8355263157894737,0.25,1.0,127,38,152,36,36,-0.012919318467989736,0.01,,315
LSTM_HuPin,All,0.023614207152816907,-0.02222444920565403,0.7987261146496816,0.34394904458598724,1.0,627,270,785,115,115,,0.01,,1575
Martingale,0,0.010478915073720748,-3.7813987896706536e-05,1.0,0.3103448275862069,1.0,145,45,145,36,36,-0.01165119696862251,0.01,,315
Martingale,1,0.02640550088082671,-0.0002770541677112881,1.0,0.6012269938650306,1.0,163,98,163,8,8,-0.051064003225915866,0.01,,315
Martingale,2,0.013328649182137036,-0.0009066302704507923,1.0,0.3691275167785235,1.0,149,55,149,19,19,-0.02130270768461552,0.01,,315
Martingale,3,0.040232187080326186,-0.004245210967171786,1.0,0.7613636363636364,1.0,176,134,176,16,16,-0.06274409576999228,0.01,,315
Martingale,4,0.0112241380235066,-0.0005753759769020483,1.0,0.40789473684210525,1.0,152,62,152,36,36,-0.012919318467989736,0.01,,315
Martingale,All,0.02336373762285121,-0.0006545338715835403,1.0,0.5019108280254777,1.0,785,394,785,115,115,,0.01,,1575
Quantile,0,0.010463941335938752,0.0028181315378984495,0.9793103448275862,0.2827586206896552,1.0,142,41,145,36,36,-0.01165119696862251,0.01,,315
Quantile,1,0.02633747667695061,0.004870010183888218,0.9938650306748467,0.558282208588957,1.0,162,91,163,8,8,-0.051064003225915866,0.01,,315
Quantile,2,0.013392789760749828,-0.010563002672449029,0.9798657718120806,0.35570469798657717,1.0,146,53,149,19,19,-0.02130270768461552,0.01,,315
Quantile,3,0.04020821097096069,-0.0030486208624254107,0.9545454545454546,0.7102272727272727,1.0,168,125,176,16,16,-0.06274409576999228,0.01,,315
Quantile,4,0.011260793010863829,-0.007121262126115413,0.9671052631578947,0.3618421052631579,1.0,147,55,152,36,36,-0.012919318467989736,0.01,,315
Quantile,All,0.02334964347601622,0.0005523892875394232,0.9745222929936306,0.46496815286624205,1.0,765,365,785,115,115,,0.01,,1575
