model,ticker_id,config_key,lookback,hidden_dim,n_layers,dropout,huber_beta,tau,lambda_pin,status,val_rmse,tail_precision,tail_recall,tail_f2,tail_tp,tail_fp,tail_fn,val_n,trained_epochs,seconds,error
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.01}",60,32,2,0.2,0.05,0.01,0.5,ok,0.02543801142550973,0.19047619047619047,0.056338028169014086,0.06557377049180327,4,17,67,1145,12,63.487,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.01}",60,32,2,0.2,0.05,0.01,1.0,ok,0.026022592444302627,0.3333333333333333,0.04225352112676056,0.051194539249146756,3,6,68,1145,17,87.014,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.025}",60,32,2,0.2,0.05,0.025,0.5,ok,0.02527138392433853,0.3,0.04225352112676056,0.05102040816326531,3,7,68,1145,12,59.56,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.025}",60,32,2,0.2,0.05,0.025,1.0,ok,0.02572986868676432,0.5,0.04225352112676056,0.05172413793103448,3,3,68,1145,17,90.674,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.05}",60,32,2,0.2,0.05,0.05,0.5,ok,0.0251484150554693,0.375,0.04225352112676056,0.051369863013698634,3,5,68,1145,12,62.011,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.05,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.05}",60,32,2,0.2,0.05,0.05,1.0,ok,0.02727027869618865,0.1111111111111111,0.09859154929577464,0.10086455331412104,7,56,64,1145,10,48.037,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.01}",60,32,2,0.2,0.075,0.01,0.5,ok,0.025258934806138816,0.23076923076923078,0.04225352112676056,0.05050505050505051,3,10,68,1145,10,46.801,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.01}",60,32,2,0.2,0.075,0.01,1.0,ok,0.02769713709940952,0.11904761904761904,0.14084507042253522,0.1358695652173913,10,74,61,1145,17,80.284,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.025}",60,32,2,0.2,0.075,0.025,0.5,ok,0.025103799849125027,0.23076923076923078,0.04225352112676056,0.05050505050505051,3,10,68,1145,10,46.346,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.025}",60,32,2,0.2,0.075,0.025,1.0,ok,0.027291266783245952,0.1346153846153846,0.09859154929577464,0.10416666666666666,7,45,64,1145,17,79.623,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.05}",60,32,2,0.2,0.075,0.05,0.5,ok,0.026007888380680917,0.13559322033898305,0.11267605633802817,0.11661807580174928,8,51,63,1145,12,54.01,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":32,""huber_beta"":0.075,""lambda_pin"":1.0,""lookback"":60,""n_layers"":2,""tau"":0.05}",60,32,2,0.2,0.075,0.05,1.0,ok,0.026747589886161507,0.2727272727272727,0.04225352112676056,0.05084745762711865,3,8,68,1145,17,78.112,
hupin,ALL,"{""dropout"":0.2,""hidden_dim"":64,""huber_beta"":0.05,""lambda_pin"":0.5,""lookback"":60,""n_layers"":2,""tau"":0.01}",60,64,2,0.2,0.05,0.01,0.5,ok,0.025443955814910962,0.25,0.04225352112676056,0.05067567567567568,3,9,68,1145,14,101.006,
